user,timestamp
A,2025-01-01 09:00:00
A,2025-01-01 09:05:00
A,2025-01-01 09:20:00
A,2025-01-01 10:00:00
A,2025-01-01 10:10:00
A,2025-01-01 11:00:00
A,2025-01-01 11:15:00
A,2025-01-01 12:00:00
B,2025-01-01 08:00:00
B,2025-01-01 08:20:00
B,2025-01-01 08:45:00
B,2025-01-01 09:30:00
B,2025-01-01 09:40:00
B,2025-01-01 10:20:00
B,2025-01-01 11:00:00
C,2025-01-01 13:00:00
C,2025-01-01 13:10:00
C,2025-01-01 13:25:00
C,2025-01-01 14:00:00
C,2025-01-01 15:00:00
C,2025-01-01 15:10:00
D,2025-01-01 07:00:00
D,2025-01-01 07:45:00
D,2025-01-01 08:00:00
D,2025-01-01 08:50:00
D,2025-01-01 09:10:00
D,2025-01-01 10:00:00
E,2025-01-01 16:00:00
E,2025-01-01 16:05:00
E,2025-01-01 16:15:00
E,2025-01-01 17:00:00
E,2025-01-01 17:40:00
E,2025-01-01 18:00:00
